UserName,Handle,Timestamp,Comments,Likes,Retweets,Text,Polarity,Subjectivity
Bob Loukas,@BobLoukas,2021-08-05T17:01:57.000Z,$ETH getting all the attention could allow $BTC to go on a sneaky run over the next few weeks.  Cycle timing good enough and short-term pullback might be over.,36,53,899
Benjamin Cowen,@intocryptoverse,2021-08-06T05:49:16.000Z,Will $BTC have the strength to get above the 20W SMA?,84,26,629
Altcoin Sherpa,@AltcoinSherpa,2021-08-05T21:28:14.000Z,"$BTC: 3 things in life are certain: Death, taxes, and #Bitcoin going to $50,000",13,22,216
TraderSZ,@trader1sz,2021-08-05T19:15:23.000Z,$BTC Key level here...clean break above it then we pushing to 43.4k. Bears last line imo,59,63,769
Inmortal UP ONLY,@inmortalcrypto,2021-08-05T21:38:33.000Z,I still think $BTC and $ETH will make a new ATH this year.,60,46,937
Bitcoin Magazine,@BitcoinMagazine,2021-08-05T13:15:43.000Z,"#Bitcoin miner Hut 8 now holds 4,123 $BTC worth $155 million 

It's keeping 100% of the Bitcoin it minesHut 8 Mining",103,412,2.5K
Luke Martin,@VentureCoinist,2021-08-05T13:19:39.000Z,$BTC down 5% this morning as all demand has moved to digital rocks.,140,165,1.1K
Simon Dedic,@scoinaldo,2021-08-05T15:02:08.000Z,$ETH smashing $BTC dominance ,102,138,1.9K
Pentoshi Wont DM You,@Pentosh1,2021-08-05T18:37:09.000Z,"We got the 60-64k

We got the 29k bottom

Imo if we do get above 64k. We are going to 200-250k 

That's only a 3x above the prev ath's. It's not wild when you think about what #Bitcoin is, and it's future with global adoption

Think bigger $BTC
Next price discovery will be wildQuote Tweet
Pentoshi Wont DM You
@Pentosh1
 · Jul 21
Being a bear is tough, downside is limited. Upside in comparison is unlimited so timing is key. You have to be a bear at the right times. This market has a way of bleeding out into a candle that can erase days or weeks of downtrends erasing all you thought you had
Show this thread",89,285,1.8K
WalkCoin,@walkcoin_com,2021-08-06T10:22:14.000Z,"#Bitcoin entity-adjusted transaction volume has increased to $7.48B per day over the last 14-days.

In particular, transactions over $1M in size (approx. 25 $BTC) are on the rise. This represents 46.5% of the total transaction volume.",,,1
